Year,State,Median Income
2019,Alabama,53913
2019,Alaska,77845
2019,Arizona,69056
2019,Arkansas,52528
2019,California,84907
2019,Colorado,82254
2019,Connecticut,83771
2019,District of Columbia,71091
2019,Delaware,90088
2019,Florida,63062
2019,Georgia,66559
2019,Hawaii,84857
2019,Idaho,66474
2019,Illinois,72205
2019,Indiana,62743
2019,Iowa,65600
2019,Kansas,64124
2019,Kentucky,55573
2019,Louisiana,52087
2019,Maine,64767
2019,Maryland,90203
2019,Massachusetts,89645
2019,Michigan,63498
2019,Minnesota,77720
2019,Mississippi,48716
2019,Missouri,61847
2019,Montana,63249
2019,Nebraska,66817
2019,Nevada,66274
2019,New Hampshire,88465
2019,New Jersey,89296
2019,New Mexico,53992
2019,New York,74314
2019,North Carolina,61972
2019,North Dakota,66519
2019,Ohio,62262
2019,Oklahoma,55826
2019,Oregon,71562
2019,Pennsylvania,68957
2019,Rhode Island,74008
2019,South Carolina,59318
2019,South Dakota,66143
2019,Tennessee,59695
2019,Texas,66963
2019,Utah,79449
2019,Vermont,72431
2019,Virginia,80963
2019,Washington,84247
2019,West Virginia,51248
2019,Wisconsin,67125
2019,Wyoming,65204